A.0_ID flood wave shape,A.1_Bmax,A.1_Brate,A.1_pfail,A.2_Bmax,A.2_Brate,A.2_pfail,A.3_Bmax,A.3_Brate,A.3_pfail,A.4_Bmax,A.4_Brate,A.4_pfail,A.5_Bmax,A.5_Brate,A.5_pfail,discount rate 0,discount rate 1,discount rate 2,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,scenario,policy,model
114,234.10233110189438,10.0,0.7017330098897219,342.53179252147675,10.0,0.09028908330947161,167.01038599014282,1.5,0.5566102918237448,53.80208671092987,1.0,0.2611820977181196,301.51638120412827,1.0,0.15672906767576933,2.5,3.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Do Nothing,dikesnet
6,234.10233110189438,10.0,0.7017330098897219,342.53179252147675,10.0,0.09028908330947161,167.01038599014282,1.5,0.5566102918237448,53.80208671092987,1.0,0.2611820977181196,301.51638120412827,1.0,0.15672906767576933,2.5,3.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Do Nothing,dikesnet
114,321.6811999678612,10.0,0.7017330098897219,342.53179252147675,10.0,0.09028908330947161,167.01038599014282,1.5,0.5566102918237448,53.80208671092987,1.0,0.2611820977181196,301.51638120412827,1.0,0.15672906767576933,2.5,3.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Do Nothing,dikesnet
114,234.10233110189438,1.0,0.7017330098897219,342.53179252147675,10.0,0.09028908330947161,167.01038599014282,1.5,0.5566102918237448,53.80208671092987,1.0,0.2611820977181196,301.51638120412827,1.0,0.15672906767576933,2.5,3.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Do Nothing,dikesnet
114,234.10233110189438,10.0,0.40180443599820137,342.53179252147675,10.0,0.09028908330947161,167.01038599014282,1.5,0.5566102918237448,53.80208671092987,1.0,0.2611820977181196,301.51638120412827,1.0,0.15672906767576933,2.5,3.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Do Nothing,dikesnet
114,234.10233110189438,10.0,0.7017330098897219,324.16642010211945,10.0,0.09028908330947161,167.01038599014282,1.5,0.5566102918237448,53.80208671092987,1.0,0.2611820977181196,301.51638120412827,1.0,0.15672906767576933,2.5,3.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,Do Nothing,dikesnet
114,234.10233110189438,10.0,0.7017330098897219,342.53179252147675,1.5,0.09028908330947161,167.01038599014282,1.5,0.5566102918237448,53.80208671092987,1.0,0.2611820977181196,301.51638120412827,1.0,0.15672906767576933,2.5,3.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,Do Nothing,dikesnet
114,234.10233110189438,10.0,0.7017330098897219,342.53179252147675,10.0,0.7721963580697775,167.01038599014282,1.5,0.5566102918237448,53.80208671092987,1.0,0.2611820977181196,301.51638120412827,1.0,0.15672906767576933,2.5,3.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,Do Nothing,dikesnet
114,234.10233110189438,10.0,0.7017330098897219,342.53179252147675,10.0,0.09028908330947161,283.0228918790817,1.5,0.5566102918237448,53.80208671092987,1.0,0.2611820977181196,301.51638120412827,1.0,0.15672906767576933,2.5,3.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,Do Nothing,dikesnet
114,234.10233110189438,10.0,0.7017330098897219,342.53179252147675,10.0,0.09028908330947161,167.01038599014282,10.0,0.5566102918237448,53.80208671092987,1.0,0.2611820977181196,301.51638120412827,1.0,0.15672906767576933,2.5,3.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,Do Nothing,dikesnet
